Name,Purchase Date,Product,Price
bRoWn Sarah,13/02/2024,Laptop,431.2 USD
jOnES JoHN,01-12-2024,Watch,823.13 USD
JoNES john,02-27-2024,Headphones,647 EURO
jOhnson Linda,2024/02/08,Watch,832 USD
smIth liNDa,01-31-2024,Watch,892 EURO
brOWn MIchaEl,01-03-2024,Camera,139
SmiTh karen,2024-01-28,Headphones,963.58
johNSoN JoHn,17/02/2024,Phone,975.81 EURO
willIAMs SARAh,2024-01-08,Watch,856
williams liNDa,2024/01/03,Laptop,680 EURO
BRoWn JoHN,24/02/2024,Watch,844
jOnes miChael,2024/02/02,Camera,741.61 USD
JoNeS John,01/03/2024,Watch,852.32
jOnEs joHn,2024/02/13,Laptop,624 USD
wiLlIAmS micHAeL,2024/01/10,Laptop,891 USD
JONes sarAh,17/02/2024,Laptop,472
jOHNsOn KaReN,2024/01/29,Watch,347
wIlLiAMS KAren,09/01/2024,Laptop,918.32
SMITh JOhn,01-26-2024,Phone,629.92
BrOWn SARah,18/02/2024,Camera,453.81 EURO
jOHnsOn karEn,2024-01-28,Headphones,485.92 EURO
jONEs SARaH,02-09-2024,Watch,568
johNSoN liNda,2024-01-05,Watch,829 USD
sMITh kaRen,27/01/2024,Watch,313
WIlLIAMS MIChaeL,01-12-2024,Phone,137
JOHnSON lINdA,23/02/2024,Camera,809.65 EURO
JoNeS liNDa,02-26-2024,Phone,56.23 EURO
BroWN KAren,21/02/2024,Watch,925.71 EURO
bRoWN miCHaEL,02-15-2024,Headphones,734 USD
Smith KArEn,02-27-2024,Laptop,167
JoHnsoN sARAH,01-16-2024,Headphones,82.05
bROWn SArAH,31/01/2024,Laptop,151 EURO
joNES MIchaEL,02-01-2024,Watch,206 USD
wILliAms kareN,2024/02/01,Watch,995.82 USD
JohnsOn MicHael,2024/01/21,Laptop,503.93
smiTh kAREN,01/02/2024,Headphones,459.66 USD
sMiTh lINdA,07/02/2024,Phone,348.75
WIlLIaMs kAren,06/02/2024,Headphones,792.61 USD
wilLiams mIChAeL,2024-02-03,Laptop,103 EURO
jOhNSON LiNdA,2024-02-08,Headphones,35 EURO
sMITH MiCHAEL,01-07-2024,Headphones,860
smItH mIchaEl,2024-01-04,Laptop,542.11 EURO
WILlIamS SARAH,2024-02-18,Headphones,579.79 USD
SMITH kAREN,2024-01-01,Watch,594
bRoWN SaRAh,06/01/2024,Laptop,526
brOWN john,2024/01/17,Laptop,721 USD
bROwN John,02-29-2024,Headphones,310.02 EURO
wILLiAMs SARaH,2024-03-01,Phone,362
JoHnSon LINDA,13/01/2024,Phone,972
JONES SarAH,2024-01-11,Headphones,659.94
jOhNSon liNdA,02-04-2024,Laptop,376.65 EURO
bRoWN JOhN,2024-01-08,Phone,723.83 USD
johnsON sARAh,2024-02-19,Watch,403.88
WIllIamS SArah,01-05-2024,Laptop,185 USD
jonEs MiCHAEl,2024/02/14,Laptop,916.09 USD
williAMS KAren,2024-01-25,Headphones,692.36
jONes micHaEL,02-01-2024,Phone,454 USD
sMiTH MiChaEl,23/01/2024,Headphones,266.9 EURO
jOnEs kaRen,2024-02-02,Laptop,755.33
jOhnsoN linda,2024/01/14,Headphones,774
JoHnsoN SARAH,01-28-2024,Headphones,598
joNes john,2024/01/06,Laptop,608.22
jOhNson johN,2024/02/17,Camera,836.36 EURO
sMITH JOHN,2024-01-28,Camera,689.33
johnsoN LINDA,02-05-2024,Camera,61 EURO
jOnEs LINdA,2024-01-17,Laptop,976.45
BrOWn kareN,2024/02/16,Laptop,723.97 EURO
JOHNSOn MIChaEL,2024-01-28,Camera,216 EURO
jOneS lINDA,03/02/2024,Phone,470.44 EURO
bRown LiNda,2024/02/02,Camera,444
jOHNSOn lInDA,2024/02/12,Camera,749
SmITH JOHn,02-09-2024,Phone,992
WilliaMs JOHn,2024/01/24,Watch,135.95
joHnSOn sarAH,2024-02-29,Laptop,993
JOhNSON JoHN,01-01-2024,Watch,302.99 EURO
WillIAMs JOHn,2024-02-05,Watch,51.72 EURO
sMITH lINDa,02-03-2024,Watch,295.61
JOHnSon KAREN,2024-01-31,Phone,529 USD
jones KarEN,26/02/2024,Headphones,631
JOHnsON lIndA,2024-01-08,Watch,740.44
JoNES mICHAEL,2024-03-02,Laptop,962
brOWn SaraH,06/01/2024,Laptop,129.37
joHNson LINDa,03/01/2024,Phone,981 USD
JOHNson liNda,2024/01/27,Phone,973.83 USD
WILLIAms miChaEl,01/01/2024,Watch,55
SMItH SaRaH,03-04-2024,Watch,588
brOwn jOHn,02-20-2024,Watch,878 USD
johnsOn LINdA,02-01-2024,Laptop,820
SmIth kAren,25/01/2024,Phone,561.63
wILLiAMS kAREN,01/03/2024,Watch,214
BroWn LINdA,29/02/2024,Camera,580
JONeS kaRen,01-27-2024,Phone,833 EURO
SMITH saRAH,2024/02/11,Camera,601.94 USD
JoHnsOn JoHn,21/02/2024,Watch,369
sMITH SAraH,12/02/2024,Laptop,954 EURO
JoNes MicHAeL,02-28-2024,Phone,111.31
BROwn JohN,01-03-2024,Phone,658
browN mIchAel,02-20-2024,Laptop,111.03
WilLiAmS JOhN,2024/01/18,Watch,896 USD
joNEs SaraH,2024-02-12,Headphones,152.72 EURO
JohnsoN kARen,01-31-2024,Camera,136 EURO
SMIth MiChaEL,02-10-2024,Headphones,260 USD
bRown karEn,2024/01/09,Headphones,631.38
smiTH LindA,2024/02/04,Camera,875
jOHNsoN SarAH,01/02/2024,Watch,83 USD
JOneS lInDA,2024-01-19,Camera,462 USD
wiLlIams miChAel,2024-01-17,Phone,134 USD
WIllIAmS KArEn,02-01-2024,Laptop,364.2 USD
jones joHn,2024/01/21,Laptop,258 USD
SMitH KarEn,14/01/2024,Phone,210
jONES lINDa,02-06-2024,Watch,26.26
SMIth jOhn,02/01/2024,Laptop,27 EURO
joNEs KArEn,2024/01/16,Phone,480.06 EURO
JONES kAReN,2024-01-01,Camera,538.84
wILlIAMS lInDA,02-17-2024,Watch,196.39
WiLlIAMS lINDA,12/01/2024,Watch,239 USD
sMitH lindA,2024/01/03,Laptop,386
sMITH sARaH,16/02/2024,Laptop,292.17
SMiTH sArAh,2024/01/27,Phone,523.57
joHnSON johN,2024/01/22,Watch,322.39 USD
JONES KAREN,05/02/2024,Headphones,685.64
bRoWN JOHn,2024/02/17,Laptop,242.44 USD
jOnES LINdA,2024/02/18,Watch,952 EURO
SMith saraH,2024/02/19,Phone,139
WILlIAMs sAraH,24/01/2024,Laptop,574 USD
JoNEs jOhN,2024-01-20,Watch,231.06
JONEs KaReN,2024/01/30,Laptop,760.47 EURO
SmiTH lInda,11/02/2024,Laptop,635 USD
bROWn karEN,01-20-2024,Headphones,89.06 EURO
jOHNsoN KArEn,01-30-2024,Camera,377.74 EURO
broWn KAreN,2024-02-18,Headphones,917.04 EURO
SmItH MicHaEL,2024/01/09,Laptop,980 EURO
jOnES lINda,02-24-2024,Camera,91.47 USD
joneS JohN,01-01-2024,Headphones,44
wILLIaMS kAReN,02-06-2024,Watch,606.65 EURO
wIlLiAMS mIChaEL,05/01/2024,Camera,346.76
JOhNsON john,02-07-2024,Laptop,323 USD
joNES LindA,2024/01/14,Headphones,681.84
wiLLIAMS lIndA,2024/01/27,Headphones,966.97 EURO
jONes Karen,2024/01/21,Camera,809.33
BROwN LinDA,02-12-2024,Camera,884
jOHnsOn KAren,2024-02-07,Watch,607
BrowN miCHAEL,01-10-2024,Watch,821.49 EURO
wILLIAms KAreN,2024/02/29,Camera,151.61 USD
wILliAms jOHN,19/01/2024,Watch,727.21 USD
WilliAMS sarah,06/02/2024,Headphones,603
JoNeS michAeL,2024-01-25,Headphones,27.68 EURO
sMIth kAREN,2024/02/21,Phone,63
bROWn LinDa,01-30-2024,Camera,499 EURO
jOnEs mICHael,02-22-2024,Laptop,993
SmitH saRaH,01-06-2024,Laptop,423.72
jONeS lIndA,02-10-2024,Phone,999 USD
joHnSoN saRah,02-02-2024,Laptop,571.7 EURO
sMiTh kArEN,2024-02-14,Laptop,739
sMitH michaEl,2024-01-09,Headphones,279
jOnes saRAH,2024/02/06,Laptop,687.54
wiLLIaMs liNdA,2024/01/23,Watch,861.97
JONes Karen,02-01-2024,Watch,285.17 EURO
bRoWN linda,2024/01/06,Camera,111.66 EURO
JOHNsOn joHn,2024/02/01,Watch,763.89
brown LInda,2024/01/08,Camera,466
jOHnsON micHAEl,2024-01-31,Watch,37
smITH linDa,2024/02/06,Laptop,644.76
BROWn KARen,2024/01/02,Camera,643.79 EURO
JoHnSoN JoHn,2024-01-23,Watch,934.83
wilLIAMs joHN,2024/01/18,Camera,54.12 USD
SMiTH miCHael,2024/01/23,Phone,134 EURO
jones KAreN,02-21-2024,Camera,44
browN mIchAEl,2024-02-07,Watch,198.6 USD
sMIth mIChAEl,2024/02/05,Phone,397.42 USD
jONEs KaREn,01-20-2024,Laptop,502.61
Jones mIcHAeL,02-29-2024,Phone,882 USD
JoNes MichAEl,01-01-2024,Headphones,340 EURO
SmIth lINdA,2024-01-06,Phone,679.83
JoNES SarAH,2024/02/11,Headphones,690
smIth lINdA,2024/02/14,Laptop,251.07 EURO
jOneS MicHaEl,2024-02-20,Watch,670
JONES MicHaEL,2024-01-19,Headphones,366 USD
WIlLIAms kAREN,2024-02-06,Watch,490 USD
jOnES JohN,15/01/2024,Phone,291.73 USD
SmiTH liNda,12/02/2024,Laptop,43 USD
wiLLiAMs SArAH,07/02/2024,Phone,411.37
WilliaMS jOHn,26/01/2024,Headphones,595.72
SMItH sARAH,2024/02/08,Laptop,625 EURO
bROWN sarAH,2024-02-14,Headphones,167.95
WiLlIams SArAH,2024/02/02,Phone,29
WIlLiaMS kARen,2024/02/18,Headphones,338.14 USD
joNeS JoHN,2024/01/08,Watch,922.99
BROwN kArEn,2024-03-01,Headphones,528.88 USD
JOhnsoN sarAh,07/01/2024,Laptop,41 EURO
SMIth John,18/02/2024,Phone,487
wilLIams lINda,03/01/2024,Laptop,324.6 EURO
browN karEN,02-12-2024,Watch,608.92 EURO
SMItH john,2024-02-12,Headphones,376 USD
jonES SAraH,19/02/2024,Phone,666 EURO
SmITH JOHN,01-23-2024,Laptop,581.58 USD
BROwN johN,04/01/2024,Phone,223.58 USD
wILliAMS sARAh,29/02/2024,Camera,458 EURO
JOnES kaRen,2024-01-13,Laptop,758
sMitH MicHAeL,2024-01-22,Watch,181.94
sMITh kAReN,2024-03-02,Camera,659 USD
wiLLIamS miChaEL,2024/01/16,Laptop,148.51 EURO
smiTh jOHN,2024-01-23,Watch,293.83 EURO
BroWN sARAh,2024-02-12,Headphones,543.58 EURO
bROwN mIChAEL,2024-02-09,Headphones,370 USD
WilLiAMS lInda,02-29-2024,Headphones,12.61
JoHNSON MIchAel,2024/01/25,Headphones,52 EURO
WIlLiams sArah,2024/01/31,Laptop,727
WiLliaMS LiNDa,21/01/2024,Headphones,738.67
Smith sarAH,02-24-2024,Phone,652.51 EURO
WIlLIAMs SARah,02-03-2024,Camera,79
bROwN LInDa,2024-02-15,Camera,78.8
JOhNsON MicHAEl,2024/01/24,Watch,439
sMiTH saRah,2024/03/04,Camera,487 EURO
SmITH SARaH,14/02/2024,Camera,512.07 EURO
brown lIndA,07/01/2024,Headphones,447.39 EURO
wiLLiAmS kaReN,2024/02/23,Watch,894 USD
JoNes JOHN,2024-02-13,Headphones,452 EURO
jOHNsON MiChaEl,11/02/2024,Watch,923
JohnsoN michAeL,2024-01-23,Watch,263.74 USD
SMitH mIcHAEL,19/02/2024,Headphones,134.04 EURO
williAmS SArah,02-24-2024,Watch,102 EURO
wILLiams MichAEl,2024-03-01,Camera,995.17 EURO
JohnsoN jOHn,2024-01-31,Camera,599
JoNes LINda,2024-03-04,Camera,893.45
williAMS michael,2024/01/26,Laptop,995 EURO
JOhnson SaRAH,03-02-2024,Laptop,134.05
browN JOHn,2024-03-03,Headphones,985.45
JOHNSOn JOhn,2024/02/11,Phone,345
SMIth jOhN,16/01/2024,Camera,168
smiTH kArEN,02-08-2024,Headphones,860.28
jOnES Karen,2024-01-13,Laptop,616
SMitH joHN,2024/01/29,Headphones,495.52
smITH SArAH,02/01/2024,Headphones,805.23 EURO
JoNES jOHN,2024/02/03,Camera,690 EURO
joneS jOhN,2024/02/16,Camera,104 EURO
johnSOn sArAh,2024/01/17,Camera,481.57
JoneS MicHAEl,2024/02/01,Laptop,540.76
wiLLIAms miCHAEl,01/03/2024,Headphones,157
SMitH liNda,02-27-2024,Camera,644.49
joHnSoN saRAH,13/01/2024,Headphones,387
SMITh KAreN,01-11-2024,Camera,360
wiLliaMs micHAEl,2024-01-17,Phone,96
broWN MicHaEl,13/02/2024,Watch,780.1 USD
WILliaMS miChAEl,2024/01/06,Camera,498 EURO
WillIAms JoHn,03/01/2024,Phone,710.64
joHNSOn karen,02-15-2024,Watch,271
williaMs JoHN,02-18-2024,Phone,896.13 USD
jOnES LINDa,2024-02-10,Camera,155
WIlLIaMS SArAh,2024-02-13,Headphones,663.69 EURO
SMiTh JoHN,02/01/2024,Camera,594.18
smith lindA,2024-02-22,Laptop,375
JoHnsOn jOhn,2024/01/25,Phone,652.25 USD
wILliAmS LINdA,2024/01/30,Watch,463
smith sarAH,05/01/2024,Watch,79.06
BroWN johN,2024/01/05,Watch,609 EURO
sMIth sARAH,01/01/2024,Phone,644.17
wIlLIAMS kaRen,01-22-2024,Laptop,123
JohnSon joHn,2024/01/09,Camera,968 USD
smith lINdA,18/02/2024,Watch,99 USD
joNeS kareN,2024-02-22,Phone,986.77
broWN lINDA,01-01-2024,Phone,129 USD
jONes SarAH,14/02/2024,Laptop,315.3 USD
JoHNSoN SARaH,11/01/2024,Watch,324 USD
jOHNson linda,2024-02-17,Camera,926.91
wIlLIams lInDa,2024-02-03,Phone,118.61 USD
jOhnSon kArEn,2024-01-28,Phone,807
JoHnsOn jOHN,06/01/2024,Phone,144.76
WIlLiamS JOhN,02/02/2024,Laptop,859.52
smItH JOhN,2024-01-04,Laptop,98 USD
JohNSoN KAREn,01-22-2024,Camera,316
WILLiaMS kAREn,2024/01/20,Laptop,24.04
JoHnSOn sarah,2024/01/27,Watch,573
SmITH lINda,2024-01-11,Watch,250.86 USD
BROwn michaEl,01-15-2024,Headphones,355.04 USD
SMitH MIchAeL,17/01/2024,Camera,953.62
smIth MicHAEl,2024/01/22,Phone,228.29 USD
joNEs LiNDA,26/02/2024,Camera,398.04
joHNson kaRen,2024-02-13,Phone,493.61
bRowN LindA,02-04-2024,Camera,415.05 EURO
williaMS LiNdA,2024-02-19,Headphones,448.11 USD
WIlLiAms LiNdA,02-04-2024,Watch,684
wiLlIamS KaREn,2024/02/09,Camera,798
JoHnSoN MIchAEL,2024-03-03,Headphones,797 USD
johNson KAreN,27/02/2024,Watch,401.67 EURO
SmITH sarAh,17/02/2024,Phone,169.14 EURO
WilLiaMs KarEN,2024-01-09,Camera,977
SMITH lInda,20/01/2024,Camera,764.43
wiLLiams liNda,2024-02-22,Phone,51.68 EURO
SmIth Karen,01-21-2024,Headphones,969
JoHnsON karen,01-09-2024,Watch,805.11 EURO
SMITh LiNDa,2024/02/09,Headphones,226
wILLiAMS lINDa,19/02/2024,Watch,908.2
JOnEs KaRen,2024/01/20,Phone,97 EURO
jOhnson jOhN,01-23-2024,Headphones,800
jONES johN,01-03-2024,Camera,550
BRoWn kaREN,02-13-2024,Watch,228 EURO
SmITH JOHn,30/01/2024,Camera,637.84 EURO
JohnSon MIChAEl,01-25-2024,Camera,399.55
JoNEs lINdA,2024-01-26,Camera,478.21
joHNsON joHN,2024/01/15,Watch,902.71
JonEs lINDA,2024-01-20,Watch,895.16 EURO
WillIams mIChAeL,2024-01-28,Phone,702.33
JOneS lInDA,01-21-2024,Laptop,745 EURO
JOhNSOn joHn,2024/02/01,Headphones,903 USD
smItH sarAH,16/01/2024,Watch,971 USD
JOHNSON JOhn,01-06-2024,Phone,935.03 USD
BroWn KAREN,01-13-2024,Laptop,172
wIlLiaMs saraH,19/01/2024,Camera,23.19 USD
jOnes SarAh,2024-01-02,Phone,79.3 EURO
jOHnsOn lindA,01-06-2024,Phone,92 USD
JONes SAraH,2024/02/23,Phone,584 EURO
JoHnSOn sArAH,2024-02-17,Headphones,432 EURO
JohnSOn mIcHaeL,12/02/2024,Watch,906
WIlLiams joHn,2024/01/16,Camera,517
JONeS micHAel,03-03-2024,Headphones,103 EURO
joHNSOn johN,21/01/2024,Headphones,556 EURO
JOnEs KarEn,2024-02-15,Watch,174 USD
Brown linda,2024/02/23,Phone,621
jonEs KarEN,03-04-2024,Phone,111
JoHNsOn saRAH,2024/01/04,Phone,782.61 EURO
SmiTH mIchAel,2024-02-20,Laptop,411
smItH SARah,2024/01/30,Headphones,365.98 EURO
willIAMS joHn,30/01/2024,Laptop,943.2 USD
BrowN kareN,08/02/2024,Laptop,756.19 EURO
BROWN kARen,08/02/2024,Phone,293.34
jONeS MiCHAeL,26/01/2024,Watch,214 USD
bROWN lIndA,2024-01-23,Phone,476.38
BrOWn KareN,2024/01/12,Watch,866
jOhNson MiCHAel,09/02/2024,Phone,357
jOnEs joHn,2024/03/01,Camera,970.35
smITH Linda,27/02/2024,Watch,238
bRowN Karen,01-03-2024,Watch,35.52
SmItH kAREN,2024-01-01,Headphones,25.39 EURO
BROWN KArEN,02-24-2024,Headphones,391 USD
Smith sARAH,03/01/2024,Camera,891
joHNsOn SaRah,01-31-2024,Watch,820.97 USD
broWn SarAh,2024/02/18,Laptop,144
smiTh MIchaEL,01-01-2024,Camera,911
JoNEs mICHaEL,2024-02-13,Camera,733.68 USD
joHNson joHn,26/01/2024,Watch,387
WIlLiAMs JohN,01-04-2024,Watch,783 EURO
joNES lInDa,02-14-2024,Watch,145 USD
BROwN Linda,2024/01/02,Laptop,342 EURO
JoHnsoN lInDa,2024-03-04,Headphones,854.15
JoHnSON SaraH,2024-02-09,Camera,865
sMITH linDa,2024-01-30,Phone,775 EURO
bROWN SARAh,2024-01-20,Headphones,627 EURO
jOHnSoN KaReN,10/01/2024,Laptop,450 EURO
BrowN LINdA,2024-01-27,Laptop,804.75
JohnsON MIChaEL,2024/01/04,Camera,851.47 EURO
SmitH LIndA,2024-02-03,Watch,698.34 EURO
JoHnSoN sarAh,2024-01-09,Phone,270
JONEs kAreN,2024-01-01,Watch,281 USD
wilLIamS jOhn,03/03/2024,Headphones,952
bROwn johN,2024-02-23,Laptop,313
WiLliaMS Karen,01-09-2024,Watch,92.69
smItH KAREn,2024-01-10,Laptop,182 USD
johnsON mIchAEL,02-27-2024,Laptop,391.29 EURO
JOneS jOhN,02-18-2024,Phone,536 USD
jonEs kaREn,2024-01-03,Headphones,447 EURO
joHnsoN LinDa,01-25-2024,Headphones,190
sMith miCHaEl,14/01/2024,Phone,239.61
JoneS LindA,2024/02/29,Camera,137.53
smItH JoHN,03/02/2024,Phone,50 EURO
sMIth Karen,14/02/2024,Watch,873.39
bROwn John,2024/01/08,Laptop,104.18
SMiTh michaeL,02-23-2024,Laptop,387.88
jOneS lINda,2024/02/05,Camera,149 USD
bROWn jOHN,2024-02-06,Watch,480 EURO
BrOWn kAREN,2024/01/17,Camera,329.01 USD
jOneS sARaH,03/02/2024,Headphones,558.99 USD
JoNes lIndA,01/02/2024,Laptop,368.46
willIams michAel,2024/02/04,Headphones,109.7
jOnEs saRaH,2024/01/10,Headphones,785.69
broWN jOhn,05/01/2024,Phone,23 EURO
brOwN JOhn,2024-01-27,Headphones,180 USD
sMith sARAh,2024-01-12,Camera,638 USD
BroWN sArah,2024/02/10,Phone,507
SMItH jOHN,16/02/2024,Phone,432.72 EURO
sMith MIChAel,01-18-2024,Phone,525.71
wiLLIAms LindA,12/01/2024,Headphones,600.96
WILLIAMS MICHAel,2024/01/18,Camera,579 USD
WiLliaMs MiCHAeL,02-07-2024,Headphones,249.77 EURO
johnsON KarEN,10/02/2024,Camera,1000 USD
willIAMs saraH,2024/02/12,Laptop,760 EURO
JoneS lINda,01-10-2024,Phone,799 EURO
BrOwn John,01-30-2024,Phone,248 EURO
JohnSoN liNDa,2024-02-07,Laptop,948
williAms LInDA,2024/01/11,Phone,378 USD
bRown SARAh,2024/02/23,Headphones,269
wILlIaMs lINdA,2024-01-28,Watch,731 USD
wilLIamS KaRen,2024-02-01,Watch,772.67 EURO
sMith SARaH,02-17-2024,Phone,770
joneS kaREn,01-14-2024,Watch,845.16
WiLliAMs sARaH,03/01/2024,Camera,146.66 USD
SMiTH Karen,20/01/2024,Camera,588 EURO
SmITh MIcHAel,2024-01-13,Headphones,355
joneS micHAEl,2024/01/03,Phone,701 EURO
WilLiAMs liNdA,2024/02/29,Watch,574
JOnEs Sarah,01-30-2024,Phone,897 EURO
WillIamS JOHn,2024/02/15,Camera,961.96
joneS mICHAEL,2024/02/23,Camera,139 EURO
WIlLIams mICHael,2024/01/22,Headphones,745.01 EURO
JOhnSOn SaRaH,01-25-2024,Camera,768
WiLLIAMS sArah,08/01/2024,Watch,803
jOHnsON lindA,02-08-2024,Watch,383 USD
williAMS kaREn,03-04-2024,Phone,697
wilLIamS KarEN,02-14-2024,Headphones,892.92
wILlIAms kAREN,12/02/2024,Headphones,217.0 EURO
JoneS john,03-03-2024,Headphones,786.87 USD
sMITh mIChaEl,09/01/2024,Headphones,728
WIlLIams john,2024-01-30,Phone,35.35
BrOwN SaraH,2024-01-28,Laptop,70 EURO
jones LInDA,01-12-2024,Headphones,703
sMitH karen,04/02/2024,Camera,473.75 USD
BRown lInDa,2024-01-02,Laptop,873 EURO
WillIams miCHaEl,20/01/2024,Watch,965 EURO
JONeS saRAH,2024-01-09,Phone,164.82 USD
joHnsoN KareN,03/03/2024,Phone,101
JOHnSON karEn,2024-01-16,Phone,74
johnsON MICHAel,2024/02/09,Phone,122
joHnson JoHN,2024-02-24,Phone,354
JOhNSON john,2024-01-13,Camera,831
BROwN SARaH,22/01/2024,Camera,277.14
JONes MicHaeL,22/01/2024,Camera,746.26 USD
joNEs joHn,2024/02/07,Headphones,228
Brown johN,2024-02-21,Phone,647
jonES jOHn,01-29-2024,Watch,59.92
WILliamS johN,2024-02-26,Headphones,650
SMiTH saRAh,26/02/2024,Headphones,117
brOWn lInDA,06/01/2024,Laptop,21
smITh LinDA,21/02/2024,Headphones,55.06 EURO
broWn JoHN,2024-01-21,Phone,754.26
jONES SARaH,19/02/2024,Watch,430
SMith mIchAEl,2024-01-24,Headphones,739.53 EURO
joneS saRaH,2024-01-05,Camera,528.9
willIams LInDa,2024/02/18,Phone,386
wilLIaMS karen,2024/02/28,Watch,344 USD
jOneS LiNda,2024-01-18,Watch,744 USD
BroWN SAraH,2024-02-17,Laptop,589.59
brOWN SArah,2024-02-08,Laptop,136
wIlLiaMs sAraH,2024-01-26,Watch,930.91
sMITH LiNda,2024/01/03,Watch,447
JOnEs JOhN,2024/03/01,Camera,234 EURO
bROWN MIcHaEL,2024/01/04,Headphones,440.87 USD
JoNEs kAReN,03-03-2024,Headphones,750
JoNeS sARAH,15/02/2024,Phone,520 EURO
sMiTh KAREN,2024/01/29,Laptop,272
bROwn LiNDA,01-31-2024,Watch,961.73
smITH LInDA,04/03/2024,Phone,240.32 EURO
joHNSOn Sarah,2024-01-11,Laptop,707.63
JohNsoN mIChAEl,2024/02/06,Camera,343.29 USD
sMiTh mIcHaeL,01-23-2024,Laptop,555.0 USD
JohnsON Karen,08/02/2024,Watch,371.11
broWN SARAH,2024-01-03,Phone,722 EURO
brOWn JohN,01-07-2024,Headphones,53.39 EURO
JOHNSOn JOHN,27/01/2024,Phone,86 USD
Smith jOHn,2024/01/30,Camera,306.83 USD
JonES linda,2024/01/18,Camera,635.16
BrowN kAren,29/01/2024,Watch,649.24
WIlLIaMs KaREn,01-19-2024,Watch,263.14 EURO
WIllIAmS sarah,19/02/2024,Camera,851 EURO
BrOWn sarAH,02-02-2024,Laptop,223.88 EURO
joneS lINdA,2024/01/31,Camera,984.41 USD
Brown SarAh,01-16-2024,Laptop,184 USD
wiLLiAmS SarAh,11/01/2024,Watch,436.1
brOwn JoHn,2024-02-27,Watch,147 USD
WILlIAmS sARaH,2024-02-03,Headphones,717 USD
bROwn LiNdA,06/01/2024,Watch,122.47
JoHNSon JOhN,2024-01-30,Camera,503 EURO
smITh KaREn,2024-01-04,Camera,629.19 USD
wIlliAMs MiCHAEL,24/02/2024,Camera,208 EURO
JoHnSOn lINda,06/02/2024,Headphones,828.08
bROwn MIChAeL,2024/02/20,Headphones,855.15 USD
jOHNsON joHn,2024-02-02,Watch,231
wILLIAMS KaREN,03-03-2024,Watch,983.39
WIlLiaMs KarEN,28/01/2024,Phone,566
brOwN KAREn,2024-01-09,Phone,498.48
BRown KAren,02-01-2024,Phone,218 USD
WIllIaMS sAraH,06/01/2024,Watch,149.51
joNes LINDA,01-19-2024,Headphones,448 EURO
joNeS JoHn,02-17-2024,Watch,555.93
jOnES MIChAEL,04/03/2024,Camera,319.12 USD
WiLliaMs liNdA,12/02/2024,Phone,273.14
WiLlIams LINda,2024/02/20,Headphones,554
joHNSON saRah,05/01/2024,Watch,775.01
wILLiaMS saRah,2024/01/08,Camera,489.76 EURO
JOnES michael,02-12-2024,Camera,56 EURO
JOnEs miChAeL,2024-01-15,Watch,698.39 EURO
BROWn kAREN,2024-02-24,Laptop,225.12 USD
sMiTH mICHael,14/01/2024,Watch,715 EURO
joHNsOn sARaH,2024-01-26,Camera,757 USD
sMiTh SarAh,2024-02-26,Camera,288
brOWN linda,2024-02-21,Camera,799 USD
JONEs LINDa,27/02/2024,Camera,13.78 USD
joHnSoN MICHaEl,2024-01-29,Headphones,904 EURO
jONES SAraH,2024/02/24,Watch,114.48 EURO
browN KArEn,2024-01-18,Phone,729
willIAms SarAH,2024-01-16,Phone,924 USD
JonES Sarah,2024-01-23,Headphones,875.18
joNeS KARen,23/02/2024,Headphones,436.39 USD
smItH mIchAeL,2024-01-24,Laptop,197 USD
JOnES LindA,2024-02-27,Headphones,511
smiTH jOhN,02-28-2024,Camera,91.22
sMiTh SArAH,02-13-2024,Camera,919
jONES JohN,2024/01/23,Phone,38
sMiTh sAraH,23/02/2024,Watch,101 USD
JoNes mIchaEl,01-11-2024,Watch,801.9 EURO
JoNeS John,2024/01/31,Camera,566
wIlliamS miCHAel,29/01/2024,Watch,418 USD
brOWn SarAh,02-08-2024,Headphones,490 USD
jOneS John,02-27-2024,Watch,658.81 EURO
JohnsOn JOHN,01-07-2024,Headphones,54
wILliAms sarAH,2024-02-14,Headphones,632.29
bROwN LINdA,2024/02/24,Laptop,267.7
JoHNsON sarAH,2024-02-18,Laptop,797.17
jONeS JoHN,2024/02/19,Phone,675 USD
WilLiAMs SARaH,15/02/2024,Phone,328.06 EURO
johNson KAREN,2024/01/06,Laptop,68.6
SmiTH lINdA,2024-02-02,Camera,569.64 USD
JoNEs MIChAEL,01-20-2024,Laptop,660.24 USD
WilliamS michAEL,2024/01/12,Watch,334.96 EURO
JohNSON jOHn,02-12-2024,Watch,194.36
bROWN SARah,19/01/2024,Watch,750.95
browN karEn,2024-01-27,Laptop,692.03
BRoWn JoHn,2024/02/12,Headphones,188 EURO
SmITh lInDA,21/01/2024,Laptop,384.01 EURO
SmIth LiNda,2024/01/30,Camera,734
wIllIAMs KaReN,2024/01/14,Phone,66 EURO
WiLlIAmS SarAh,03-03-2024,Phone,544 EURO
Brown johN,22/01/2024,Phone,118 USD
BroWn mIcHAel,27/02/2024,Headphones,29
joneS LiNda,2024-01-30,Headphones,526.54
jones KArEn,13/02/2024,Camera,50 USD
broWN john,2024-01-30,Headphones,441 USD
WIlLiAms lINDA,2024/01/22,Headphones,838
JohNSoN sAraH,2024-01-04,Watch,607
joNEs mIcHael,2024/01/05,Phone,797.81 USD
SmITh MIcHAEl,2024/02/01,Watch,709
williaMS KaREN,02-05-2024,Watch,938 USD
